ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,NPM ,17
com.ntou.APIApplication,2,0,0,4,6,1,0,1,
com.ntou.HealthCheckResource,2,1,0,0,5,1,0,2,
com.ntou.creditcard.management.activation.Activation,4,1,0,18,47,2,0,2,
com.ntou.creditcard.management.activation.ActivationController,2,1,0,2,5,1,0,2,
com.ntou.creditcard.management.activation.ActivationRC,7,2,0,1,10,13,0,4,
com.ntou.creditcard.management.activation.ActivationReq,12,1,0,2,18,38,0,11,
com.ntou.creditcard.management.activation.ActivationRes,1,0,0,1,2,0,0,1,
com.ntou.creditcard.management.application.Application,5,1,0,18,98,6,0,2,
com.ntou.creditcard.management.application.ApplicationController,2,1,0,2,5,1,0,2,
com.ntou.creditcard.management.application.ApplicationRC,7,2,0,1,10,13,0,4,
com.ntou.creditcard.management.application.ApplicationReq,58,1,0,2,64,1395,0,57,
com.ntou.creditcard.management.application.ApplicationRes,1,0,0,1,2,0,0,1,
com.ntou.creditcard.management.review.Review,7,1,0,18,63,17,0,4,
com.ntou.creditcard.management.review.ReviewController,2,1,0,2,5,1,0,2,
com.ntou.creditcard.management.review.ReviewRC,7,2,0,1,10,13,0,4,
com.ntou.creditcard.management.review.ReviewReq,16,1,0,2,22,72,0,15,
com.ntou.creditcard.management.review.ReviewRes,1,0,0,1,2,0,0,1,
,8,0.941176471,0,4.470588235,22,92.58823529,0,6.764705882,
